"GID","URN","UID","Companies House Number","Role","Title","Forename 1","Forename 2","Surname","Date of appointment","Date term of office ends/ended","Appointing body"
"1505435","","2082","08842629","Trustee","Mrs","Julie","","Milner","05/10/2020","18/07/2022","Appointed by GB/board"
"1572849","","2082","08842629","Chair of Trustees","Mrs","Patricia","","Dutton","01/11/2021","30/10/2022","Appointed by GB/board"
"1573057","","2082","08842629","Trustee","Mr","Philip","","Gilmore","19/10/2021","18/10/2025","Appointed by academy members"
"1002777","","2083","07556117","Trustee","Ms","Alison","","Latham","01/08/2014","17/07/2026","Appointed by academy members"
"1002781","","2083","07556117","Chief Financial Officer","","Anastasia","","Byard","17/09/2014","02/10/2022","N/A"
"1002783","","2083","07556117","Member","Mr","Mike","","Dixon","17/09/2014","","Original (signatory) members"
"1039762","","2083","07556117","Accounting Officer","Mrs","Elizabeth","","Fairhurst","01/09/2016","","N/A"
"1039765","","2083","07556117","Trustee","Mrs","Elizabeth","","Fairhurst","01/09/2016","","Ex-officio by virtue of office as headteacher/principal"
"1202879","","2083","07556117","Trustee","Mr","Steven","","Groves","17/05/2017","16/05/2025","Appointed by GB/board"
"1257852","","2083","07556117","Member","Dr","Richard","","Sloan","15/11/2017","","Appointed by academy members"
"1306611","","2083","07556117","Chair of Trustees","Mr","Rob","","Hall","21/03/2018","18/07/2026","Appointed by GB/board"
"1306616","","2083","07556117","Member","Mr","Andy","","Clark","17/07/2018","","Appointed by academy members"
"1308844","","2083","07556117","Trustee","","Elizabeth","","Hayden","12/09/2018","11/09/2026","Appointed by GB/board"
"1447341","","2083","07556117","Trustee","","Kevin","","Guy","18/06/2020","17/06/2024","Appointed by GB/board"
"1470425","","2083","07556117","Trustee","Mr","Simon","","Fox","23/09/2020","23/09/2024","Appointed by GB/board"
"1470426","","2083","07556117","Trustee","Mrs","Nina","","Wrightson","02/10/2020","02/10/2024","Appointed by GB/board"
"1537344","","2083","07556117","Member","Mr","Alex","","Nicholson","01/09/2021","","Appointed by GB/board"
"1564048","","2083","07556117","Trustee","Dr","Bruce","","McDowell","24/11/2021","24/11/2025","Appointed by academy members"
"1623598","","2083","07556117","Chief Financial Officer","Mr","David","","Walton","03/10/2022","","N/A"
"1002788","","2095","08310900","Trustee","Mrs","Nicola","","Davis","01/01/2012","","Ex-officio by virtue of office as headteacher/principal"
"1002795","","2095","08310900","Trustee","Mr","Bob","","Stephenson","01/01/2012","01/01/2024","Appointed by GB/board"
"1137568","","2095","08310900","Accounting Officer","Mrs","Nicola","","Davis","01/01/2012","","N/A"
"1137570","","2095","08310900","Trustee","Mr","Mick","","Marks","09/12/2015","23/10/2023","Appointed by GB/board"
"1137573","","2095","08310900","Chief Financial Officer","Mr","John","","Ince","01/01/2012","","N/A"
"1151993","","2095","08310900","Member","Mr","Jim","","Inglis","01/01/2012","","Appointed by GB/board"
"1152119","","2095","08310900","Member","Mrs","Karen","","Austin","01/01/2012","08/07/2022","Appointed by GB/board"
"1383729","","2095","08310900","Member","Mrs","Stephanie","","Moran","11/10/2018","","Appointed by academy members"
"1383732","","2095","08310900","Trustee","Mr","Robert","","Grant","04/07/2019","03/07/2023","Appointed by foundation/Trust"
"1412780","","2095","08310900","Member","Mrs","Carolyn","","Creamer","28/11/2019","20/07/2022","Appointed by academy members"
"1412782","","2095","08310900","Member","Mr","Mark","","Morris","28/11/2019","","Appointed by academy members"
"1419567","","2095","08310900","Chair of Trustees","Mr","Jim","","Inglis","01/01/2012","01/01/2024","Appointed by GB/board"
"1508765","","2095","08310900","Trustee","Mrs","Helen","","Bourton","19/11/2020","18/11/2024","Appointed by GB/board"
"1508766","","2095","08310900","Trustee","Mrs","Sue","","Reid","19/11/2020","18/11/2021","Appointed by GB/board"
"1537966","","2095","08310900","Trustee","Mr","David","","Williams","24/06/2021","23/06/2022","Appointed by academy members"
"1609683","","2095","08310900","Trustee","Mr","Jonathan","","Hopkins","17/03/2022","16/03/2026","Appointed by GB/board"
"1609690","","2095","08310900","Trustee","Mrs","Sue","","Reid","19/11/2020","18/11/2024","Appointed by GB/board"
"1609694","","2095","08310900","Trustee","Mr","David","","Williams","24/06/2021","23/06/2025","Appointed by GB/board"
"1609701","","2095","08310900","Trustee","Mrs","Tracy","","Wilkinson","17/03/2022","16/03/2026","Appointed by GB/board"
"1083451","","2096","05670663","Chair of Trustees","Mr","Brent","","Thomas","01/09/2020","26/07/2022","Original (signatory) members"
"1083638","","2096","05670663","Chief Financial Officer","Mr","David","","Webster","30/05/2022","","N/A"
"1083678","","2096","05670663","Trustee","Mr","Richard","","Benton","01/09/2020","15/06/2022","Appointed by academy members"
"1166845","","2096","05670663","Member","Mr","James","","Sporle","16/02/2017","","Appointed by academy members"
"1192662","","2096","05670663","Trustee","Ms","Janie","","Chesterton","09/04/2021","31/08/2022","Appointed by academy members"
"1277307","","2096","05670663","Trustee","Mr","Tunde","","Banjoko","11/12/2017","10/12/2021","Appointed by academy members"
"1317107","","2096","05670663","Accounting Officer","Mrs","Jane","","Fletcher","01/05/2019","","N/A"
"1323268","","2096","05670663","Trustee","Ms","Jane","","Waters","16/10/2018","15/10/2022","Appointed by academy members"
"1400720","","2096","05670663","Trustee","Mr","Frank","","Hogan","01/10/2019","01/10/2025","Appointed by academy members"
"1422508","","2096","05670663","Member","Mr","Rod","","Aldridge","01/09/2016","","Appointed by foundation/Trust"
"1422513","","2096","05670663","Member","","Aldridge","","Foundation","01/05/2016","","Appointed by foundation/Trust"
"1422967","","2096","05670663","Trustee","","Jane","","Fletcher","01/09/2019","01/09/2024","Appointed by foundation/Trust"
"1467211","","2096","05670663","Member","Sir","David","","Bell","26/08/2020","","Original (signatory) members"
"1467217","","2096","05670663","Member","Mr","Graeme","","Pike","26/08/2020","","Original (signatory) members"
"1470557","","2096","05670663","Member","","Jennifer","","Lavender","26/08/2020","","Original (signatory) members"
"1571422","","2096","05670663","Trustee","","Abi","","Olapade","19/10/2021","18/10/2025","Appointed by academy members"
"1594852","","2096","05670663","Trustee","Mr","Mike","","Ore","13/04/2022","12/04/2026","Appointed by academy members"
"1606845","","2096","05670663","Chair of Trustees","Mr","Rob","","Wye","26/07/2022","15/10/2022","Appointed by foundation/Trust"
"1615810","","2096","05670663","Trustee","Professor","Kiran","","Trehan","13/09/2022","12/09/2026","Appointed by foundation/Trust"
"1615811","","2096","05670663","Trustee","Mr","Rupert","","Nichols","13/09/2022","12/09/2026","Appointed by foundation/Trust"
"1615812","","2096","05670663","Trustee","Mr","Chris","","Jones","13/09/2022","12/09/2026","Appointed by foundation/Trust"
"1615814","","2096","05670663","Trustee","Ms","Emma","","Beatty","13/09/2022","12/09/2026","Appointed by academy members"
"1615816","","2096","05670663","Trustee","Ms","Caroline","","Hoare","21/09/2022","21/09/2026","Appointed by academy members"
"1619606","","2096","05670663","Trustee","Mr","Rod","","Henwood","26/09/2022","25/09/2026","Appointed by academy members"
"1002809","","2100","07801612","Accounting Officer","Mr","Stephen","","Carey","01/12/2014","","N/A"
"1002811","","2100","07801612","Chief Financial Officer","Mr","Tony","","Seath","01/12/2014","","N/A"
"1252812","","2100","07801612","Member","Mr","John","","Constanti","01/09/2017","","Ex-officio foundation governor (appointed by foundation by virtue of the office they hold)"
"1303813","","2100","07801612","Trustee","Mr","Robert","Michael","Hicks","12/06/2018","11/06/2022","Appointed by academy members"
"1316095","","2100","07801612","Member","","Nigel","","Bourne","31/08/2018","","Ex-officio foundation governor (appointed by foundation by virtue of the office they hold)"
"1332745","","2100","07801612","Member","Venerable","Andrew","Wooding","Jones","01/09/2018","","Ex-officio foundation governor (appointed by foundation by virtue of the office they hold)"
"1376874","","2100","07801612","Trustee","Mrs","Heather","","Overton","30/04/2019","29/04/2023","Appointed by foundation/Trust"
"1404870","","2100","07801612","Trustee","Mr","Joseph","","King","07/11/2019","31/12/2023","Appointed by academy members"
"1404891","","2100","07801612","Trustee","","William","","Johnson","01/12/2018","30/11/2022","Appointed by academy members"
"1410231","","2100","07801612","Trustee","Mr","Stephen","","Carey","01/12/2018","30/11/2022","Ex-officio by virtue of office as headteacher/principal"
"1457084","","2100","07801612","Trustee","Mr","James","Douglas","Holt","16/07/2020","15/07/2024","Appointed by academy members"
"1457085","","2100","07801612","Trustee","Mrs","Joanne","","Barker-Platt","16/07/2020","31/08/2022","Appointed by academy members"
"1475647","","2100","07801612","Trustee","Mr","Mark","","Till","19/10/2020","18/10/2024","Appointed by academy members"
"1523385","","2100","07801612","Chair of Trustees","Mr","Anthony","John","Smith","10/10/2019","15/10/2025","Appointed by academy members"
"1527123","","2100","07801612","Member","Mr","Anthony","","Smith","10/10/2019","","Ex-officio foundation governor (appointed by foundation by virtue of the office they hold)"
"1547848","","2100","07801612","Trustee","Dr","Ajay","Kumar","Sharman","30/09/2021","29/09/2025","Appointed by foundation/Trust"
"1609022","","2100","07801612","Trustee","Mr","Robert","Michael","Hicks","12/06/2022","11/06/2026","Appointed by academy members"
"1623070","","2100","07801612","Member","The Right Reverend","Jonathan","","Gibbs","24/09/2022","","Ex-officio foundation governor (appointed by foundation by virtue of the office they hold)"
"1002812","","2109","08998917","Accounting Officer","Mrs","Jayn","","Gray","03/07/2015","","N/A"
"1002817","","2109","08998917","Member","The Right Reverend","Paul","","Butler","01/07/2014","","Appointed by GB/board"
"1155359","","2109","08998917","Chief Financial Officer","Mrs","Yvonne","","Malcolm","01/07/2014","","N/A"
"1155383","","2109","08998917","Member","Mr","Paul","","Rickeard","01/07/2014","","Appointed by GB/board"
"1155390","","2109","08998917","Member","Mr","Paul","","Bowens","01/07/2018","","Original (signatory) members"
"1303280","","2109","08998917","Chair of Trustees","Mr","Paul","Eric","Bowens","01/07/2018","30/06/2022","Original (signatory) members"
"1311668","","2109","08998917","Trustee","Mr","Michael","James","Cuthbertson","01/07/2018","30/06/2022","Original (signatory) members"
"1311671","","2109","08998917","Trustee","Mr","Dean","","Hall","01/07/2018","30/06/2022","Original (signatory) members"
"1312103","","2109","08998917","Trustee","Ms","Beverley","","George","01/07/2018","31/12/2021","Original (signatory) members"
"1312105","","2109","08998917","Trustee","Mr","Keith","","Higgins","01/07/2018","30/06/2022","Original (signatory) members"
"1376989","","2109","08998917","Member","Venerable","Bob","","Cooper","13/08/2018","","Original (signatory) members"
"1376990","","2109","08998917","Member","Mr","Richard","","Thorndyke","13/08/2018","21/06/2022","Original (signatory) members"
"1549264","","2109","08998917","Trustee","Mr","Michael","James","Morris","13/09/2021","12/09/2025","Original (signatory) members"
"1609967","","2109","08998917","Member","Mr","Nigel","","Wyrley-Birch","22/06/2022","","Original (signatory) members"
"1609973","","2109","08998917","Chair of Trustees","Mr","Paul","Eric","Bowens","01/07/2022","30/06/2026","Original (signatory) members"
"1609978","","2109","08998917","Trustee","Mr","Keith","John","Higgin","01/07/2022","30/06/2026","Original (signatory) members"
"1609979","","2109","08998917","Trustee","Mr","Dean","","Hall","01/07/2022","30/06/2026","Original (signatory) members"
"1609982","","2109","08998917","Trustee","Mr","Michael","","Cuthbertson","01/07/2022","30/06/2026","Original (signatory) members"
"1002826","","2111","07943555","Accounting Officer","Mr","Peter","","Sweeney","01/03/2012","31/12/2021","N/A"
"1002827","","2111","07943555","Chair of Trustees","Mr","Tony","","Leahy","09/02/2012","08/02/2024","Appointed by academy members"
"1167139","","2111","07943555","Member","The Reverend","V","","Nichols","09/02/2012","","Original (signatory) members"
"1167152","","2111","07943555","Member","Mr","J P","","Morrison","09/02/2012","","Appointed by academy members"
"1167154","","2111","07943555","Member","Mr","P","","Camoletto","09/02/2012","","Original (signatory) members"
"1275957","","2111","07943555","Chief Financial Officer","Mrs","Lindsay","","Unsworth","01/03/2012","31/07/2022","N/A"
"1293442","","2111","07943555","Trustee","Mr","Andrew","","Rogers","09/02/2012","08/02/2024","Appointed by academy members"
"1398372","","2111","07943555","Trustee","Mrs","Laura","","Sharp","01/05/2019","30/04/2023","Appointed by academy members"
"1398373","","2111","07943555","Trustee","Ms","Pat","","Anderson","01/05/2019","30/04/2023","Appointed by academy members"
"1398376","","2111","07943555","Trustee","Mrs","Sharon","","Monteith","05/07/2019","04/07/2023","Appointed by academy members"
"1400379","","2111","07943555","Trustee","Mr","Chris","","Gomes","01/05/2019","30/04/2023","Appointed by academy members"
"1400382","","2111","07943555","Trustee","Mr","Stuart","","Hynes","20/10/2014","19/10/2022","Appointed by academy members"
"1569096","","2111","07943555","Accounting Officer","Mr","Stephen","","Wheatley","01/01/2022","","N/A"
"1607217","","2111","07943555","Chief Financial Officer","Mr","Graham","","Young","01/08/2022","","N/A"
"1002829","","2112","08709352","Chief Financial Officer","Mrs","Sally","","Brough","01/11/2013","","N/A"
"1002835","","2112","08709352","Accounting Officer","Mrs","Margaret","","Yates","01/11/2013","","N/A"
"1002838","","2112","08709352","Trustee","Mr","Mark","","Rayner","21/01/2015","20/01/2023","Ex-officio by virtue of office as headteacher/principal"
"1002843","","2112","08709352","Member","","Barberi And Newman","","Academy Trust","01/11/2013","","Foundation/sponsor members"
"1245538","","2112","08709352","Trustee","Mr","Francis","","Tunney","31/10/2017","21/11/2025","Appointed by foundation/Trust"
"1320968","","2112","08709352","Trustee","Mrs","Anne","","Middleton-Hill","23/11/2017","22/11/2021","Appointed by foundation/Trust"
"1320969","","2112","08709352","Chair of Trustees","Mrs","Anne","","Middleton-Hill","21/07/2018","22/11/2025","Appointed by foundation/Trust"
